gene_id	spromiscuus_homolog	spromiscuus_homolog_orthology_type
Ec-13_001310	mRNA_S-promiscuus_M_contig1.100.1	ortholog_one2one
Ec-13_001700	mRNA_S-promiscuus_M_contig1.103.1	ortholog_many2one
Ec-19_003010	mRNA_S-promiscuus_M_contig1.106.1	ortholog_one2one
Ec-00_009020	mRNA_S-promiscuus_M_contig1.108.1	ortholog_one2many
Ec-13_001620	mRNA_S-promiscuus_M_contig1.111.1	ortholog_one2one
Ec-13_001600	mRNA_S-promiscuus_M_contig1.112.1	ortholog_one2one
Ec-13_001590	mRNA_S-promiscuus_M_contig1.114.1	ortholog_one2one
Ec-13_001530	mRNA_S-promiscuus_M_contig1.116.1	ortholog_many2one
Ec-13_001490	mRNA_S-promiscuus_M_contig1.121.1	ortholog_many2one
Ec-13_001430	mRNA_S-promiscuus_M_contig1.122.1	ortholog_one2one
Ec-13_001420	mRNA_S-promiscuus_M_contig1.126.1	ortholog_one2one
Ec-20_000270	mRNA_S-promiscuus_M_contig1.127.1	ortholog_one2one
Ec-sdr_f_000090	mRNA_S-promiscuus_M_contig1.128.1	ortholog_many2one
Ec-13_002100	mRNA_S-promiscuus_M_contig1.137.1	ortholog_one2one
Ec-13_002110	mRNA_S-promiscuus_M_contig1.138.1	ortholog_one2one
Ec-13_001410	mRNA_S-promiscuus_M_contig1.141.1	ortholog_one2one
Ec-13_001750	mRNA_S-promiscuus_M_contig1.143.1	ortholog_one2many
Ec-13_001840	mRNA_S-promiscuus_M_contig1.149.1	ortholog_one2one
Ec-sdr_f_000080	mRNA_S-promiscuus_M_contig1.150.1	ortholog_many2many
Ec-sdr_f_000150	mRNA_S-promiscuus_M_contig1.152.1	ortholog_many2one
Ec-sdr_f_000060	mRNA_S-promiscuus_M_contig1.154.1	ortholog_many2one
Ec-23_000560	mRNA_S-promiscuus_M_contig1.156.1	ortholog_many2one
Ec-13_001770	mRNA_S-promiscuus_M_contig1.157.1	ortholog_one2one
Ec-13_002010	mRNA_S-promiscuus_M_contig1.159.1	ortholog_one2one
Ec-13_002040	mRNA_S-promiscuus_M_contig1.160.1	ortholog_one2one
Ec-00_003870	mRNA_S-promiscuus_M_contig1.161.1	ortholog_one2one
Ec-sdr_f_000010	mRNA_S-promiscuus_M_contig1.162.1	ortholog_many2one
Ec-13_002060	mRNA_S-promiscuus_M_contig1.164.1	ortholog_one2one
Ec-13_001950	mRNA_S-promiscuus_M_contig1.167.1	ortholog_many2one
Ec-13_001980	mRNA_S-promiscuus_M_contig1.169.1	ortholog_one2one
Ec-18_004260	mRNA_S-promiscuus_M_contig1.172.1	ortholog_many2one
Ec-13_001990	mRNA_S-promiscuus_M_contig1.175.1	ortholog_one2one
Ec-sdr_f_000040	mRNA_S-promiscuus_M_contig1.176.1	ortholog_one2one
Ec-13_002090	mRNA_S-promiscuus_M_contig1.177.1	ortholog_one2one
Ec-13_002120	mRNA_S-promiscuus_M_contig1.178.1	ortholog_one2one
Ec-00_009290	mRNA_S-promiscuus_M_contig1.179.1	ortholog_one2one
Ec-13_002160	mRNA_S-promiscuus_M_contig1.181.1	ortholog_one2one
