gene_id	spromiscuus_homolog	spromiscuus_homolog_orthology_type
ES_01-augustus-gene-0.32	mRNA_S-promiscuus_M_contig36.11198.1	ortholog_many2one
ES_01-augustus-gene-0.34	mRNA_S-promiscuus_M_contig36.11195.1	ortholog_many2one
ES_01-augustus-gene-1.23	mRNA_S-promiscuus_M_contig36.11189.1	ortholog_many2one
ES_01-augustus-gene-1.26	mRNA_S-promiscuus_M_contig36.11190.1	ortholog_many2one
ES_01-augustus-gene-109.24	mRNA_S-promiscuus_M_contig2.5627.1	ortholog_many2one
ES_01-augustus-gene-111.27	mRNA_S-promiscuus_M_contig2.5493.1	ortholog_many2one
ES_01-augustus-gene-117.51	mRNA_S-promiscuus_M_contig2.5551.1	ortholog_many2one
ES_01-augustus-gene-12.18	mRNA_S-promiscuus_M_contig36.11230.1	ortholog_many2one
ES_01-augustus-gene-120.59	mRNA_S-promiscuus_M_contig2.5594.1	ortholog_many2one
ES_01-augustus-gene-122.51	mRNA_S-promiscuus_M_contig2.5479.1	ortholog_many2one
ES_01-augustus-gene-13.18	mRNA_S-promiscuus_M_contig29.8411.1	ortholog_many2many
ES_01-augustus-gene-13.18	mRNA_S-promiscuus_M_contig29.8408.1	ortholog_many2many
ES_01-augustus-gene-13.18	mRNA_S-promiscuus_M_contig29.8412.1	ortholog_many2many
ES_01-augustus-gene-13.18	mRNA_S-promiscuus_M_contig29.8413.1	ortholog_many2many
ES_01-augustus-gene-13.18	mRNA_S-promiscuus_M_contig29.8410.1	ortholog_many2many
ES_01-augustus-gene-14.3	mRNA_S-promiscuus_M_contig36.11143.1	ortholog_many2one
ES_01-augustus-gene-2.48	mRNA_S-promiscuus_M_contig6.16174.1	ortholog_many2many
ES_01-augustus-gene-2.48	mRNA_S-promiscuus_M_contig6.16173.1	ortholog_many2many
ES_01-augustus-gene-2.59	mRNA_S-promiscuus_M_contig36.11185.1	ortholog_many2one
ES_01-augustus-gene-3.14	mRNA_S-promiscuus_M_contig40.12844.1	ortholog_many2many
ES_01-augustus-gene-3.14	mRNA_S-promiscuus_M_contig40.12843.1	ortholog_many2many
ES_01-augustus-gene-3.15	mRNA_S-promiscuus_M_contig40.12844.1	ortholog_many2many
ES_01-augustus-gene-3.15	mRNA_S-promiscuus_M_contig40.12843.1	ortholog_many2many
ES_01-augustus-gene-3.20	mRNA_S-promiscuus_M_contig36.11130.1	ortholog_many2one
ES_01-augustus-gene-56.23	mRNA_S-promiscuus_M_contig6.16375.1	ortholog_many2many
ES_01-augustus-gene-56.23	mRNA_S-promiscuus_M_contig6.16376.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig56.15705.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig54.15527.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig61.16730.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig60.16628.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig11.1640.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig23.6701.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig46.13878.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig21.6215.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig21.6190.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig27.7917.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig32.10202.1	ortholog_many2many
ES_01-augustus-gene-67.14	mRNA_S-promiscuus_M_contig32.10207.1	ortholog_many2many
ES_01-augustus-gene-67.21	mRNA_S-promiscuus_M_contig27.7906.1	ortholog_many2one
ES_01-augustus-gene-74.44	mRNA_S-promiscuus_M_contig2.5211.1	ortholog_many2one
ES_01-augustus-gene-75.33	mRNA_S-promiscuus_M_contig2.5226.1	ortholog_many2one
ES_01-augustus-gene-8.8	mRNA_S-promiscuus_M_contig6.16174.1	ortholog_many2many
ES_01-augustus-gene-8.8	mRNA_S-promiscuus_M_contig6.16173.1	ortholog_many2many
ES_01-augustus-gene-83.37	mRNA_S-promiscuus_M_contig2.5324.1	ortholog_many2one
ES_01-augustus-gene-86.24	mRNA_S-promiscuus_M_contig2.5365.1	ortholog_many2one
ES_01-augustus-gene-86.27	mRNA_S-promiscuus_M_contig2.5361.1	ortholog_many2one
ES_01-augustus-gene-87.18	mRNA_S-promiscuus_M_contig2.5346.1	ortholog_many2one
ES_01-augustus-gene-87.6	mRNA_S-promiscuus_M_contig2.5359.1	ortholog_many2one
ES_01-augustus-gene-97.18	mRNA_S-promiscuus_M_contig32.10285.1	ortholog_many2one
ES_01-snap-gene-0.0	mRNA_S-promiscuus_M_contig36.11196.1	ortholog_many2one
ES_01-snap-gene-0.17	mRNA_S-promiscuus_M_contig36.11202.1	ortholog_many2one
ES_01-snap-gene-101.13	mRNA_S-promiscuus_M_contig2.5687.1	ortholog_many2one
ES_01-snap-gene-108.25	mRNA_S-promiscuus_M_contig22.6362.1	ortholog_many2one
ES_01-snap-gene-115.17	mRNA_S-promiscuus_M_contig89.18621.1	ortholog_many2many
ES_01-snap-gene-115.17	mRNA_S-promiscuus_M_contig89.18613.1	ortholog_many2many
ES_01-snap-gene-120.11	mRNA_S-promiscuus_M_contig2.5588.1	ortholog_many2one
ES_01-snap-gene-122.19	mRNA_S-promiscuus_M_contig2.5479.1	ortholog_many2one
ES_01-snap-gene-2.30	mRNA_S-promiscuus_M_contig40.12849.1	ortholog_many2one
ES_01-snap-gene-3.36	mRNA_S-promiscuus_M_contig36.11129.1	ortholog_many2one
ES_01-snap-gene-40.5	mRNA_S-promiscuus_M_contig16.3721.1	ortholog_many2many
ES_01-snap-gene-40.5	mRNA_S-promiscuus_M_contig67.16928.1	ortholog_many2many
ES_01-snap-gene-40.5	mRNA_S-promiscuus_M_contig67.16927.1	ortholog_many2many
ES_01-snap-gene-40.5	mRNA_S-promiscuus_M_contig40.12871.1	ortholog_many2many
ES_01-snap-gene-41.18	mRNA_S-promiscuus_M_contig2.4922.1	ortholog_many2one
ES_01-snap-gene-41.22	mRNA_S-promiscuus_M_contig2.4918.1	ortholog_many2one
ES_01-snap-gene-69.53	mRNA_S-promiscuus_M_contig2.5167.1	ortholog_many2one
ES_01-snap-gene-69.64	mRNA_S-promiscuus_M_contig2.5153.1	ortholog_many2one
ES_01-snap-gene-82.17	mRNA_S-promiscuus_M_contig20.5955.1	ortholog_many2many
ES_01-snap-gene-82.17	mRNA_S-promiscuus_M_contig20.5953.1	ortholog_many2many
ES_01-snap-gene-86.53	mRNA_S-promiscuus_M_contig2.5355.1	ortholog_many2many
ES_01-snap-gene-86.53	mRNA_S-promiscuus_M_contig2.5354.1	ortholog_many2many
ES_01-snap-gene-86.54	mRNA_S-promiscuus_M_contig2.5355.1	ortholog_many2many
ES_01-snap-gene-86.54	mRNA_S-promiscuus_M_contig2.5354.1	ortholog_many2many
ES_01-snap-gene-87.39	mRNA_S-promiscuus_M_contig2.5356.1	ortholog_many2one
ES_01-snap-gene-88.0	mRNA_S-promiscuus_M_contig2.5349.1	ortholog_many2one
ES_01-snap-gene-92.15	mRNA_S-promiscuus_M_contig2.5407.1	ortholog_many2one
ES_01-snap-gene-96.43	mRNA_S-promiscuus_M_contig2.5462.1	ortholog_many2many
ES_01-snap-gene-96.43	mRNA_S-promiscuus_M_contig2.5464.1	ortholog_many2many
ES_02-augustus-gene-0.37	mRNA_S-promiscuus_M_contig8.18433.1	ortholog_many2one
ES_02-augustus-gene-0.50	mRNA_S-promiscuus_M_contig8.18430.1	ortholog_many2one
ES_02-augustus-gene-1.14	mRNA_S-promiscuus_M_contig8.18424.1	ortholog_many2one
ES_02-augustus-gene-1.28	mRNA_S-promiscuus_M_contig8.18417.1	ortholog_many2one
ES_02-augustus-gene-102.69	mRNA_S-promiscuus_M_contig40.12815.1	ortholog_many2one
ES_02-augustus-gene-102.93	mRNA_S-promiscuus_M_contig40.12816.1	ortholog_many2one
ES_02-augustus-gene-19.43	mRNA_S-promiscuus_M_contig43.13430.1	ortholog_many2one
ES_02-augustus-gene-2.26	mRNA_S-promiscuus_M_contig8.18452.1	ortholog_many2one
ES_02-augustus-gene-2.28	mRNA_S-promiscuus_M_contig8.18420.1	ortholog_many2one
ES_02-augustus-gene-23.21	mRNA_S-promiscuus_M_contig50.15106.1	ortholog_many2one
ES_02-augustus-gene-25.34	mRNA_S-promiscuus_M_contig7.17526.1	ortholog_many2one
ES_02-augustus-gene-29.6	mRNA_S-promiscuus_M_contig17.4019.1	ortholog_many2many
ES_02-augustus-gene-29.6	mRNA_S-promiscuus_M_contig17.4022.1	ortholog_many2many
ES_02-augustus-gene-29.8	mRNA_S-promiscuus_M_contig47.13982.1	ortholog_many2one
ES_02-augustus-gene-3.22	mRNA_S-promiscuus_M_contig8.18454.1	ortholog_many2one
ES_02-augustus-gene-3.23	mRNA_S-promiscuus_M_contig8.18455.1	ortholog_many2one
ES_02-augustus-gene-3.37	mRNA_S-promiscuus_M_contig8.18460.1	ortholog_many2one
ES_02-augustus-gene-34.59	mRNA_S-promiscuus_M_contig3.9117.1	ortholog_many2one
ES_02-augustus-gene-34.61	mRNA_S-promiscuus_M_contig3.9113.1	ortholog_many2one
ES_02-augustus-gene-34.62	mRNA_S-promiscuus_M_contig17.3930.1	ortholog_many2one
ES_02-augustus-gene-34.69	mRNA_S-promiscuus_M_contig3.9118.1	ortholog_many2one
ES_02-augustus-gene-34.72	mRNA_S-promiscuus_M_contig3.9123.1	ortholog_many2one
ES_02-augustus-gene-36.29	mRNA_S-promiscuus_M_contig3.8823.1	ortholog_many2one
ES_02-augustus-gene-36.37	mRNA_S-promiscuus_M_contig3.9133.1	ortholog_many2one
ES_02-augustus-gene-39.17	mRNA_S-promiscuus_M_contig3.9152.1	ortholog_many2one
ES_02-augustus-gene-4.13	mRNA_S-promiscuus_M_contig8.18462.1	ortholog_many2one
ES_02-augustus-gene-41.15	mRNA_S-promiscuus_M_contig3.9147.1	ortholog_many2one
ES_02-augustus-gene-41.22	mRNA_S-promiscuus_M_contig3.9153.1	ortholog_many2one
ES_02-augustus-gene-41.24	mRNA_S-promiscuus_M_contig3.9146.1	ortholog_many2one
ES_02-augustus-gene-41.31	mRNA_S-promiscuus_M_contig3.9151.1	ortholog_many2one
ES_02-augustus-gene-42.16	mRNA_S-promiscuus_M_contig3.9159.1	ortholog_many2one
ES_02-augustus-gene-42.17	mRNA_S-promiscuus_M_contig3.9163.1	ortholog_many2one
ES_02-augustus-gene-42.19	mRNA_S-promiscuus_M_contig3.9162.1	ortholog_many2one
